"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal"
"88",1177,"D1","guichenoti","Male","Control Cold","CL314_22",125,"28/3/2023","13/4/2023",16,"Red",2,"R",NA,"",0,2,"R",0,1,""
"89",1182,"F3","delicata","Male","CORT Cold","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"L",0,1,""
"90",1192,"D4","delicata","Male","Control Cold","CL317_22",120,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"L",1,1,""
"91",1198,"B2","delicata","Male","Control Cold","CL318_22",120,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"R",0,1,""
"92",1202,"C2","delicata","Male","Control Hot","CL319_22",134,"26/3/2023","13/4/2023",18,"Blue",2,"L",NA,"Wrong shelter",1,2,"R",0,1,""
"93",1205,"B4","delicata","Male",NA,"CL320_22",136,"31/3/2023","13/4/2023",13,"Red",2,"L",NA,"More than one cricket eaten",1,2,"L",0,1,""
"94",1207,"A3","delicata","Female","CORT Cold","CL320_22",118,"30/3/2023","13/4/2023",14,"Red",2,"R",0,"",0,2,"R",0,1,""
"95",1218,"E3","guichenoti","Female",NA,"CL324_22",132,"21/3/2023","13/4/2023",23,"Red",2,"C",NA,"",0,2,"R",1,1,""
"96",1222,"C4","delicata","Female",NA,"CL325_22",134,"2/4/2023","13/4/2023",11,"Red",2,"C",NA,"",0,2,"C",0,1,""
"97",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",2,"C",NA,"",0,2,"L",0,0,""
"98",1229,"D4","delicata","Male","Control Hot","CL326_22",129,"29/3/2023","13/4/2023",15,"Red",2,"L",NA,"More than one cricket eaten",1,2,"L",0,1,""
"99",1230,"F1","delicata","Female","Control Hot","CL327_22",132,"29/3/2023","13/4/2023",15,"Blue",2,"R",0,"",1,2,"R",0,1,""
"100",1233,"B2","delicata","Female","CORT Cold","CL327_22",115,"31/3/2023","13/4/2023",13,"Blue",2,"L",NA,"More than one cricket eaten",0,2,"L",1,1,""
"101",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",2,"C",NA,"",0,2,"L",0,1,""
"102",1240,"B2","delicata","Female",NA,"CL330_22",132,"30/3/2023","13/4/2023",14,"Blue",2,"C",NA,"",0,2,"C",0,0,""
"103",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",2,"C",NA,"",0,2,"C",1,1,""
"104",1257,"D4","delicata","Male","CORT Cold","CL334_22",111,"27/3/2023","13/4/2023",17,"Blue",2,"L",NA,"",0,2,"C",1,1,""
"105",1258,"G2","delicata","Female",NA,"CL334_22",129,"28/3/2023","13/4/2023",16,"Blue",2,"C",0,"",1,2,"R",1,1,""
"106",1276,"B1","guichenoti","Female",NA,"CL341_22",129,"29/3/2023","13/4/2023",15,"Red",2,"R",1,"",1,2,"C",1,1,""
"107",1283,"A4","guichenoti","Female","Control Cold","CL344_22",106,"28/3/2023","13/4/2023",16,"Red",2,"C",NA,"",0,2,"C",0,1,""
"108",1284,"B2","delicata","Male","Control Hot","CL345_22",129,"21/3/2023","13/4/2023",23,"Blue",2,"R",NA,"",0,2,"C",0,1,""
"109",1296,"B4","delicata","Female","CORT Cold","CL348_22",108,"5/4/2023","13/4/2023",8,"Blue",2,"C",1,"",1,2,"C",1,1,""
"110",1303,"D2","delicata","Female","CORT Cold","CL350_22",113,"30/3/2023","13/4/2023",14,"Red",2,"C",NA,"",0,2,"R",1,1,""
"111",1322,"C2","delicata","Male","CORT Cold","CL356_22",108,"26/3/2023","13/4/2023",18,"Red",2,"C",NA,"",0,2,"L",0,1,""
"112",1328,"G2","delicata","Male","Control Cold","CL357_22",108,"5/4/2023","13/4/2023",8,"Red",2,"R",NA,"",0,2,"C",1,1,""
"113",1334,"G4","delicata","Female",NA,"CL358_22",127,"31/3/2023","13/4/2023",13,"Blue",2,"R",0,"",1,2,"R",1,1,""
"114",1340,"F4","guichenoti","Female","Control Hot","CL360_22",122,"6/4/2023","13/4/2023",7,"Red",2,"R",0,"",1,2,"L",0,1,""
"115",1358,"D1","guichenoti","Female","Control Hot","CL365_22",129,"20/3/2023","13/4/2023",24,"Red",2,"L",NA,"",0,2,"L",1,1,""
