"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"124",1192,"D4","delicata","Male","A_23","CL317_22",120,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"L",1,1,"",NA,"Cold","Control"
"125",1229,"D4","delicata","Male","B_28","CL326_22",129,"29/3/2023","13/4/2023",15,"Red",2,"L",NA,"More than one cricket eaten",1,2,"L",0,1,"",NA,"Hot","CORT"
"126",1257,"D4","delicata","Male","B_23","CL334_22",111,"27/3/2023","13/4/2023",17,"Blue",2,"L",NA,"",0,2,"C",1,1,"",NA,"Cold","CORT"
"127",1442,"E1","guichenoti","Male","B_23","CL388_22",94,"21/3/2023","13/4/2023",23,"Blue",2,"C",0,"",1,2,"R",0,0,"",NA,"Cold","CORT"
"128",1565,"E1","guichenoti","Female","B_28","CL424_22",101,"29/3/2023","13/4/2023",15,"Red",2,"R",NA,"",0,2,"L",0,1,"",NA,"Hot","CORT"
"129",1174,"E2","delicata","Male","A_23","CL313_22",132,"31/3/2023","13/4/2023",13,"Red",2,"L",0,"",1,2,"R",1,1,"",NA,"Cold","Control"
"130",1402,"E2","delicata","Male","A_28","CL377_22",118,"1/4/2023","13/4/2023",12,"Red",2,"R",0,"",0,2,"L",0,1,"",NA,"Hot","Control"
"131",2255,"E2","delicata","Female","B_28","CL607_22",66,"2/4/2023","13/4/2023",11,"Blue",2,"C",NA,"",0,2,"C",0,1,"",NA,"Hot","CORT"
"132",1218,"E3","guichenoti","Female","A_28","CL324_22",132,"21/3/2023","13/4/2023",23,"Red",2,"C",NA,"",0,2,"R",1,1,"",NA,"Hot","Control"
"133",1443,"E3","guichenoti","Male","A_23","CL388_22",94,"20/3/2023","13/4/2023",24,"Red",2,"R",0,"",1,2,"C",1,1,"",NA,"Cold","Control"
"134",2164,"E3","guichenoti","Female","B_23","CL584_22",48,"20/3/2023","13/4/2023",24,"Blue",2,"C",NA,"",0,2,"L",0,0,"",NA,"Cold","CORT"
"135",1172,"E4","delicata","Male","B_28","CL313_22",148,"10/4/2023","13/4/2023",3,"Red",2,"C",NA,"",0,2,"R",1,0,"Correct choice but did not eat",NA,"Hot","CORT"
"136",1239,"E4","delicata","Female","A_23","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",2,"C",NA,"",0,2,"L",0,1,"",NA,"Cold","Control"
"137",2346,"E4","delicata","Female","B_23","CL633_23",41,"11/4/2023","13/4/2023",2,"Blue",2,"R",NA,"",0,2,"C",0,0,"",NA,"Cold","CORT"
"138",1230,"F1","delicata","Female","B_28","CL327_22",132,"29/3/2023","13/4/2023",15,"Blue",2,"R",0,"",1,2,"R",0,1,"",NA,"Hot","CORT"
"139",1487,"F1","delicata","Male","A_23","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",2,"L",NA,"",0,2,"C",0,0,"",NA,"Cold","Control"
"140",2351,"F1","delicata","Male","A_28","CL634_23",59,"6/4/2023","13/4/2023",7,"Blue",2,"L",1,"",1,2,"L",0,1,"",NA,"Hot","Control"
"141",1419,"F2","guichenoti","Female","A_28","CL382_22",118,"20/3/2023","13/4/2023",24,"Blue",2,"L",0,"",0,2,"R",0,1,"",NA,"Hot","Control"
"142",1534,"F2","guichenoti","Female","A_23","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",2,"C",0,"",1,2,"C",0,1,"",NA,"Cold","Control"
"143",1580,"F2","guichenoti","Female","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",2,"L",0,"",1,2,"L",0,1,"",NA,"Hot","CORT"
"144",1613,"F2","guichenoti","Male","B_23","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",2,"R",0,"",0,2,"R",1,1,"",NA,"Cold","CORT"
"145",1182,"F3","delicata","Male","B_23","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"L",0,1,"",NA,"Cold","CORT"
"146",1424,"F3","delicata","Female","A_23","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",2,"L",NA,"",1,2,"C",1,1,"",NA,"Cold","Control"
"147",2486,"F3","delicata","Female","B_28","CL677_23",45,"2/4/2023","13/4/2023",11,"Blue",2,"C",1,"",1,2,"C",0,0,"",NA,"Hot","CORT"
"148",1340,"F4","guichenoti","Female","B_28","CL360_22",122,"6/4/2023","13/4/2023",7,"Red",2,"R",0,"",1,2,"L",0,1,"",NA,"Hot","CORT"
"149",1417,"F4","guichenoti","Female","B_28","CL381_22",97,"20/3/2023","13/4/2023",24,"Red",2,"C",NA,"",0,2,"C",0,1,"",NA,"Hot","CORT"
"150",1467,"F4","guichenoti","Female","A_28","CL397_22",111,"20/3/2023","13/4/2023",24,"Red",2,"C",1,"",1,2,"R",0,1,"",NA,"Hot","Control"
"151",1421,"G1","guichenoti","Male","B_23","CL382_22",97,"20/3/2023","13/4/2023",24,"Red",2,"L",0,"",1,2,"L",0,1,"",NA,"Cold","CORT"
"152",1674,"G1","guichenoti","Female","B_23","CL455_22",94,"6/4/2023","13/4/2023",7,"Red",2,"L",NA,"",0,2,"R",0,1,"",NA,"Cold","CORT"
"153",2009,"G1","guichenoti","Male","A_28","CL542_22",78,"3/4/2023","13/4/2023",10,"Blue",2,"R",NA,"",0,2,"C",1,1,"",NA,"Hot","Control"
"154",1258,"G2","delicata","Female","A_28","CL334_22",129,"28/3/2023","13/4/2023",16,"Blue",2,"C",0,"",1,2,"R",1,1,"",NA,"Hot","Control"
