"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort","first_non_na","Associative_Trial"
"127",1442,"E1","guichenoti","Male","B_23","CL388_22",94,"21/3/2023","13/4/2023",23,"Blue",4,"C",0,"",1,4,"L",0,1,"",NA,"Cold","CORT",3,2
"128",1565,"E1","guichenoti","Female","B_28","CL424_22",101,"29/3/2023","13/4/2023",15,"Red",4,"R",0,"",1,4,"C",0,1,"",NA,"Hot","CORT",3,2
"129",1174,"E2","delicata","Male","A_23","CL313_22",132,"31/3/2023","13/4/2023",13,"Red",4,"R",0,"",1,4,"L",0,1,"",NA,"Cold","Control",3,2
"130",1402,"E2","delicata","Male","A_28","CL377_22",118,"1/4/2023","13/4/2023",12,"Red",4,"C",0,"",1,4,"C",0,1,"",NA,"Hot","Control",3,2
"131",2255,"E2","delicata","Female","B_28","CL607_22",66,"2/4/2023","13/4/2023",11,"Blue",4,"R",NA,"",0,4,"R",0,1,"",NA,"Hot","CORT",3,2
"132",1218,"E3","guichenoti","Female","A_28","CL324_22",132,"21/3/2023","13/4/2023",23,"Red",4,"L",NA,"",0,4,"L",1,1,"",NA,"Hot","Control",3,2
"133",1443,"E3","guichenoti","Male","A_23","CL388_22",94,"20/3/2023","13/4/2023",24,"Red",4,"C",0,"",0,4,"R",0,1,"",NA,"Cold","Control",3,2
"134",2164,"E3","guichenoti","Female","B_23","CL584_22",48,"20/3/2023","13/4/2023",24,"Blue",4,"L",NA,"",0,4,"C",0,1,"",NA,"Cold","CORT",3,2
"135",1172,"E4","delicata","Male","B_28","CL313_22",148,"10/4/2023","13/4/2023",3,"Red",4,"C",0,"",0,4,"R",1,1,"",NA,"Hot","CORT",3,2
"136",1239,"E4","delicata","Female","A_23","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",4,"L",NA,"",0,4,"C",0,1,"",NA,"Cold","Control",3,2
"137",2346,"E4","delicata","Female","B_23","CL633_23",41,"11/4/2023","13/4/2023",2,"Blue",4,"R",NA,"",0,4,"L",0,1,"",NA,"Cold","CORT",3,2
"138",1230,"F1","delicata","Female","B_28","CL327_22",132,"29/3/2023","13/4/2023",15,"Blue",4,"R",0,"",1,4,"L",0,1,"",NA,"Hot","CORT",3,2
"139",1487,"F1","delicata","Male","A_23","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",4,"C",NA,"",0,4,"R",1,1,"",NA,"Cold","Control",3,2
"140",2351,"F1","delicata","Male","A_28","CL634_23",59,"6/4/2023","13/4/2023",7,"Blue",4,"L",0,"",1,4,"C",0,1,"",NA,"Hot","Control",3,2
"141",1419,"F2","guichenoti","Female","A_28","CL382_22",118,"20/3/2023","13/4/2023",24,"Blue",4,"L",0,"",0,4,"L",0,1,"",NA,"Hot","Control",3,2
"142",1534,"F2","guichenoti","Female","A_23","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",4,"R",0,"",0,4,"C",0,1,"",NA,"Cold","Control",3,2
"143",1580,"F2","guichenoti","Female","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",4,"L",NA,"",0,4,"R",1,1,"",NA,"Hot","CORT",3,2
"144",1613,"F2","guichenoti","Male","B_23","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",4,"R",NA,"",0,4,"R",1,1,"",NA,"Cold","CORT",3,2
"145",1182,"F3","delicata","Male","B_23","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",4,"L",0,"",1,4,"R",1,1,"",NA,"Cold","CORT",3,2
