"","trial_associative","FC_associative","cort","temp","group","lizard_id","cond__","effect1__","estimate__","se__","lower__","upper__"
"56",19.8888888888889,0.612787356321839,"Control","Cold","Blue",NA,"1",19.8888888888889,0.702431948825962,0.0473179069489079,0.602541830506864,0.788099361477914
"57",20.2323232323232,0.612787356321839,"Control","Cold","Blue",NA,"1",20.2323232323232,0.702725570764486,0.046904054008416,0.602536606682206,0.787902846213186
"58",20.5757575757576,0.612787356321839,"Control","Cold","Blue",NA,"1",20.5757575757576,0.703068843845133,0.0469684537278311,0.602907217326132,0.787392180417401
"59",20.9191919191919,0.612787356321839,"Control","Cold","Blue",NA,"1",20.9191919191919,0.703283106176554,0.0468242403084904,0.602946043377604,0.787423636883713
"60",21.2626262626263,0.612787356321839,"Control","Cold","Blue",NA,"1",21.2626262626263,0.703314948437211,0.0469415589795477,0.602677236482672,0.787762759549328
"61",21.6060606060606,0.612787356321839,"Control","Cold","Blue",NA,"1",21.6060606060606,0.703419196408254,0.0469386532566209,0.60221834848545,0.788505470280288
"62",21.9494949494949,0.612787356321839,"Control","Cold","Blue",NA,"1",21.9494949494949,0.703685169054185,0.0470867771136021,0.602664031129664,0.789424686353186
"63",22.2929292929293,0.612787356321839,"Control","Cold","Blue",NA,"1",22.2929292929293,0.704125883282456,0.0470203841151643,0.60163404167609,0.790006439421851
"64",22.6363636363636,0.612787356321839,"Control","Cold","Blue",NA,"1",22.6363636363636,0.704426030788713,0.0472970962186103,0.600938095789057,0.790527963009501
"65",22.979797979798,0.612787356321839,"Control","Cold","Blue",NA,"1",22.979797979798,0.704846241300953,0.047512380801773,0.600832108709873,0.791141423044904
"66",23.3232323232323,0.612787356321839,"Control","Cold","Blue",NA,"1",23.3232323232323,0.705108615902404,0.0476698112631774,0.600991619895579,0.79199277302807
"67",23.6666666666667,0.612787356321839,"Control","Cold","Blue",NA,"1",23.6666666666667,0.705312851557327,0.0476931772816558,0.599986481944761,0.792833089654369
"68",24.010101010101,0.612787356321839,"Control","Cold","Blue",NA,"1",24.010101010101,0.705398069389017,0.0480382166016496,0.600213115802869,0.7939188307273
"69",24.3535353535354,0.612787356321839,"Control","Cold","Blue",NA,"1",24.3535353535354,0.705724315914131,0.048225469656707,0.600475289747694,0.794763399740788
"70",24.6969696969697,0.612787356321839,"Control","Cold","Blue",NA,"1",24.6969696969697,0.706144996818381,0.0485174633659116,0.600726188559183,0.795606411712956
"71",25.040404040404,0.612787356321839,"Control","Cold","Blue",NA,"1",25.040404040404,0.70658676835467,0.0485830430975542,0.600999770613176,0.796441394545081
"72",25.3838383838384,0.612787356321839,"Control","Cold","Blue",NA,"1",25.3838383838384,0.706910887772952,0.0488219481280118,0.601259701488021,0.797225217083047
"73",25.7272727272727,0.612787356321839,"Control","Cold","Blue",NA,"1",25.7272727272727,0.707223703204813,0.049313408018705,0.601328051870196,0.797961043479105
"74",26.0707070707071,0.612787356321839,"Control","Cold","Blue",NA,"1",26.0707070707071,0.707239252532951,0.04982704828624,0.600573320390976,0.798601011436942
"75",26.4141414141414,0.612787356321839,"Control","Cold","Blue",NA,"1",26.4141414141414,0.707515360122122,0.0500834687851191,0.60073011329486,0.799776226386043
"76",26.7575757575758,0.612787356321839,"Control","Cold","Blue",NA,"1",26.7575757575758,0.707673954999193,0.0507288911048051,0.600243599211707,0.801087766831351
"77",27.1010101010101,0.612787356321839,"Control","Cold","Blue",NA,"1",27.1010101010101,0.707880015332883,0.0510474476136159,0.599046220857212,0.80220938774161
"78",27.4444444444444,0.612787356321839,"Control","Cold","Blue",NA,"1",27.4444444444444,0.708290577112054,0.0514641623155165,0.598302836872792,0.803607783401013
"79",27.7878787878788,0.612787356321839,"Control","Cold","Blue",NA,"1",27.7878787878788,0.708744573634372,0.0520195835381548,0.598381847350919,0.804313451442604
"80",28.1313131313131,0.612787356321839,"Control","Cold","Blue",NA,"1",28.1313131313131,0.708961082237846,0.0524821802971965,0.597079490603444,0.805579011142816
"81",28.4747474747475,0.612787356321839,"Control","Cold","Blue",NA,"1",28.4747474747475,0.709447040096695,0.0529777927245117,0.596431340888614,0.805986605669926
"82",28.8181818181818,0.612787356321839,"Control","Cold","Blue",NA,"1",28.8181818181818,0.709644756394216,0.0535365564366954,0.595195152873239,0.806791259551283
"83",29.1616161616162,0.612787356321839,"Control","Cold","Blue",NA,"1",29.1616161616162,0.709970895149315,0.053909081406129,0.594426503041685,0.808156137326498
"84",29.5050505050505,0.612787356321839,"Control","Cold","Blue",NA,"1",29.5050505050505,0.710044235547193,0.054664756278767,0.593820375692699,0.809151495468634
"85",29.8484848484848,0.612787356321839,"Control","Cold","Blue",NA,"1",29.8484848484848,0.710217110536211,0.055289929790606,0.59209973041392,0.8107060412486
"86",30.1919191919192,0.612787356321839,"Control","Cold","Blue",NA,"1",30.1919191919192,0.710729155029968,0.0557080560875932,0.591440733978217,0.811470106054066
"87",30.5353535353535,0.612787356321839,"Control","Cold","Blue",NA,"1",30.5353535353535,0.710881048246277,0.0563698591776659,0.588534972872246,0.813255173339448
"88",30.8787878787879,0.612787356321839,"Control","Cold","Blue",NA,"1",30.8787878787879,0.711165178991409,0.0567575085100715,0.587210624319745,0.814368301249695
"89",31.2222222222222,0.612787356321839,"Control","Cold","Blue",NA,"1",31.2222222222222,0.71130921765691,0.0573667154817876,0.586160502673916,0.814827358070939
"90",31.5656565656566,0.612787356321839,"Control","Cold","Blue",NA,"1",31.5656565656566,0.711523040562308,0.0578024622468718,0.584569753353566,0.81570101035922
"91",31.9090909090909,0.612787356321839,"Control","Cold","Blue",NA,"1",31.9090909090909,0.711983268343646,0.0586551327179752,0.583759180541941,0.817006380746513
"92",32.2525252525253,0.612787356321839,"Control","Cold","Blue",NA,"1",32.2525252525253,0.712183496976637,0.0593300650832877,0.582075337557471,0.818384004422674
"93",32.5959595959596,0.612787356321839,"Control","Cold","Blue",NA,"1",32.5959595959596,0.712545532877118,0.0597247882000458,0.580592819353082,0.819291555086655
"94",32.9393939393939,0.612787356321839,"Control","Cold","Blue",NA,"1",32.9393939393939,0.71278348430901,0.0604898947801785,0.57926569155566,0.819964041668693
"95",33.2828282828283,0.612787356321839,"Control","Cold","Blue",NA,"1",33.2828282828283,0.713121014816906,0.0610746370511338,0.577939153019298,0.820937467055748
"96",33.6262626262626,0.612787356321839,"Control","Cold","Blue",NA,"1",33.6262626262626,0.713269805967121,0.0615605300727788,0.576608014223623,0.821773806579895
"97",33.969696969697,0.612787356321839,"Control","Cold","Blue",NA,"1",33.969696969697,0.713485771444214,0.0625360050947584,0.57527761274443,0.822937495259107
"98",34.3131313131313,0.612787356321839,"Control","Cold","Blue",NA,"1",34.3131313131313,0.713850042656247,0.0631051891643619,0.573947064949163,0.824211272468861
"99",34.6565656565657,0.612787356321839,"Control","Cold","Blue",NA,"1",34.6565656565657,0.714163618993868,0.0640011001547221,0.572641288243704,0.825811633651856
"100",35,0.612787356321839,"Control","Cold","Blue",NA,"1",35,0.714271279835708,0.0648226916551145,0.571494770131806,0.827336753962271
