"","species","group","trt","Trial","prop_correct"
"350","italic('L. guichenoti')","Red","Control-Cold",20,0.4
"351","italic('L. guichenoti')","Red","Control-Cold",21,0.8
"352","italic('L. guichenoti')","Red","Control-Cold",22,0.6
"353","italic('L. guichenoti')","Red","Control-Cold",23,0.2
"354","italic('L. guichenoti')","Red","Control-Cold",24,0.4
"355","italic('L. guichenoti')","Red","Control-Cold",25,0.8
"356","italic('L. guichenoti')","Red","Control-Cold",26,0.2
"357","italic('L. guichenoti')","Red","Control-Cold",27,0.8
"358","italic('L. guichenoti')","Red","Control-Cold",28,0.2
"359","italic('L. guichenoti')","Red","Control-Cold",29,0.8
"360","italic('L. guichenoti')","Red","Control-Cold",30,0.6
"361","italic('L. guichenoti')","Red","Control-Cold",31,0.6
"362","italic('L. guichenoti')","Red","Control-Cold",32,0.8
"363","italic('L. guichenoti')","Red","Control-Cold",33,0.8
"364","italic('L. guichenoti')","Red","Control-Hot",1,0
"365","italic('L. guichenoti')","Red","Control-Hot",2,0
"366","italic('L. guichenoti')","Red","Control-Hot",3,0
"367","italic('L. guichenoti')","Red","Control-Hot",4,0
"368","italic('L. guichenoti')","Red","Control-Hot",5,0.5
"369","italic('L. guichenoti')","Red","Control-Hot",6,0.5
"370","italic('L. guichenoti')","Red","Control-Hot",7,0.2
"371","italic('L. guichenoti')","Red","Control-Hot",8,0.6
"372","italic('L. guichenoti')","Red","Control-Hot",9,0.6
"373","italic('L. guichenoti')","Red","Control-Hot",10,0.6
"374","italic('L. guichenoti')","Red","Control-Hot",11,0.2
"375","italic('L. guichenoti')","Red","Control-Hot",12,0.6
"376","italic('L. guichenoti')","Red","Control-Hot",13,0.5
"377","italic('L. guichenoti')","Red","Control-Hot",14,0.4
"378","italic('L. guichenoti')","Red","Control-Hot",15,0.6
"379","italic('L. guichenoti')","Red","Control-Hot",16,0.2
"380","italic('L. guichenoti')","Red","Control-Hot",17,0.6
"381","italic('L. guichenoti')","Red","Control-Hot",18,0.25
"382","italic('L. guichenoti')","Red","Control-Hot",19,0.6
"383","italic('L. guichenoti')","Red","Control-Hot",20,0.6
"384","italic('L. guichenoti')","Red","Control-Hot",21,0.6
"385","italic('L. guichenoti')","Red","Control-Hot",22,0.6
"386","italic('L. guichenoti')","Red","Control-Hot",23,0.8
"387","italic('L. guichenoti')","Red","Control-Hot",24,0.6
"388","italic('L. guichenoti')","Red","Control-Hot",25,0.6
"389","italic('L. guichenoti')","Red","Control-Hot",26,0.8
"390","italic('L. guichenoti')","Red","Control-Hot",27,0.6
"391","italic('L. guichenoti')","Red","Control-Hot",28,1
"392","italic('L. guichenoti')","Red","Control-Hot",29,0.8
"393","italic('L. guichenoti')","Red","Control-Hot",30,0.6
"394","italic('L. guichenoti')","Red","Control-Hot",31,0.2
"395","italic('L. guichenoti')","Red","Control-Hot",32,0.6
"396","italic('L. guichenoti')","Red","Control-Hot",33,0.8
"397","italic('L. guichenoti')","Blue","CORT-Cold",1,1
"398","italic('L. guichenoti')","Blue","CORT-Cold",2,0
"399","italic('L. guichenoti')","Blue","CORT-Cold",3,0.5
"400","italic('L. guichenoti')","Blue","CORT-Cold",4,0.5
"401","italic('L. guichenoti')","Blue","CORT-Cold",5,1
"402","italic('L. guichenoti')","Blue","CORT-Cold",6,1
"403","italic('L. guichenoti')","Blue","CORT-Cold",7,0.666666666666667
