lizard_id,lizard_id,position,species,trt,current_enclosure,egg_id,clutch,egg_date,hatch_date,hatch_mass,hatch_svl,hatch_tl,death_date,liz_status,mortality,notes,cohort,mass,SVL,TL,date measured,Date finished training,Group
LD2346_22,2346,E4,delicata,B_23,E931_23,EG2346,CL633_23,13/1/2023,3/3/2023,0.11,18,24,NA,ALIVE,1,NA,13,0.178,19,26,3/4/2023,11/4/2023,B_R
LD1230_22,1230,F1,delicata,B_28,E022_23,EG1230_22,CL327_22,31/10/2022,2/12/2022,0.109,17,25,NA,ALIVE,1,NA,2,0.392,29,45,12/3/2023,29/3/2023,B_R
LD1487_22,1487,F1,delicata,A_23,E428_23,EG1487,CL402_22,21/11/2022,18/1/2023,0.104,19,26,NA,ALIVE,1,NA,5,0.24,24,35,12/3/2023,20/3/2023,B_R
LD2351_22,2351,F1,delicata,A_28,E753_23,EG2351,CL634_23,13/1/2023,13/2/2023,0.1,19,26,NA,ALIVE,1,NA,13,0.289,25,37,3/4/2023,6/4/2023,B_R
LG1419_22,1419,F2,guichenoti,A_28,E121_23,EG1419,CL382_22,14/11/2022,16/12/2022,0.141,18,24,NA,ALIVE,1,NA,4,0.39,27,43,12/3/2023,20/3/2023,B_R
LG1534_22,1534,F2,guichenoti,A_23,E417_23,EG1534,CL415_22,25/11/2022,18/1/2023,0.143,20,25,NA,ALIVE,1,NA,6,0.378,26,41,12/3/2023,20/3/2023,R_B
LG1580_22,1580,F2,guichenoti,B_28,E304_23,EG1580,CL428_22,28/11/2022,4/1/2023,0.126,19,25,NA,ALIVE,1,NA,6,0.545,31,47,12/3/2023,20/3/2023,R_B
LG1613_22,1613,F2,guichenoti,B_23,E469_23,EG1613,CL439_22,30/11/2022,23/1/2023,0.157,21,25,NA,ALIVE,1,NA,7,0.304,25,35,12/3/2023,29/3/2023,R_B
LD1182_22,1182,F3,delicata,B_23,E090_23,EG1182_22,CL315_22,21/10/2022,12/12/2022,0.106,18,26,NA,ALIVE,1,NA,1,0.434,28,46,12/3/2023,29/3/2023,R_B
LD1424_22,1424,F3,delicata,A_23,E323_23,EG1424,CL383_22,14/11/2022,6/1/2023,0.107,18,24,NA,ALIVE,1,NA,4,0.419,29,43,12/3/2023,31/3/2023,B_R
LD2106_22,2106,F3,delicata,A_28,E498_23,EG2106,CL569_22,28/12/2022,25/1/2023,NA,NA,NA,NA,ALIVE,1,NA,11,0.415,27,42,17/3/2023,9/4/2023,B_R
LD2486_22,2486,F3,delicata,B_28,E883_23,EG2486,CL677_23,27/1/2023,27/2/2023,0.109,19,26,NA,ALIVE,1,NA,15,0.252,23,32,17/3/2023,2/4/2023,B_R
LG1340_22,1340,F4,guichenoti,B_28,E086_23,EG1340_22,CL360_22,7/11/2022,12/12/2022,0.138,18,25,NA,ALIVE,1,NA,3,0.595,30,46,12/3/2023,6/4/2023,R_B
LG1417_22,1417,F4,guichenoti,B_28,E319_23,EG1417,CL381_22,14/11/2022,6/1/2023,0.137,21,28,NA,ALIVE,1,NA,4,0.395,27,45,12/3/2023,20/3/2023,R_B
LG1467_22,1467,F4,guichenoti,A_28,E181_23,EG1467,CL397_22,18/11/2022,23/12/2022,0.174,21,32,NA,ALIVE,1,NA,5,0.639,33,52,12/3/2023,20/3/2023,R_B
LG1421_22,1421,G1,guichenoti,B_23,E316_23,EG1421,CL382_22,14/11/2022,6/1/2023,0.139,20,24,NA,ALIVE,1,NA,4,0.433,28,44,12/3/2023,20/3/2023,R_B
LG1466_22,1466,G1,guichenoti,A_23,E136_23,EG1466,CL397_22,18/11/2022,13/1/2023,0.182,21,31,22/4/2023,DEAD,0,NA,5,0.402,30,19,12/3/2023,21/3/2023,R_B
LG1674_22,1674,G1,guichenoti,B_23,E353_23,EG1674,CL455_22,2/12/2022,9/1/2023,0.136,20,27,NA,ALIVE,1,NA,7,0.513,28,44,15/3/2023,6/4/2023,R_B
LG2009_22,2009,G1,guichenoti,A_28,E493_23,EG2009,CL542_22,21/12/2022,25/1/2023,NA,NA,NA,NA,ALIVE,1,NA,10,0.667,30,50,15/3/2023,3/4/2023,B_R
LD1258_22,1258,G2,delicata,A_28,E051_23,EG1258_22,CL334_22,2/11/2022,5/12/2022,0.103,18,26,NA,ALIVE,1,NA,3,0.507,31,47,12/3/2023,28/3/2023,B_R
LD1328_22,1328,G2,delicata,A_23,E190_23,EG1328_22,CL357_22,7/11/2022,26/12/2022,0.091,17,23,NA,ALIVE,1,NA,3,0.421,28,44,12/3/2023,5/4/2023,R_B
LD1408_22,1408,G2,delicata,B_28,E104_23,EG1408,CL379_22,14/11/2022,14/12/2022,0.104,18,25,NA,ALIVE,1,NA,4,0.41,29,46,12/3/2023,28/3/2023,R_B
LG1360_22,1360,G3,guichenoti,A_28,E103_23,EG1360_22,CL366_22,9/11/2022,14/12/2022,0.166,21,29,NA,ALIVE,1,NA,4,0.463,29,44,12/3/2023,21/3/2023,R_B
LG1795_22,1795,G3,guichenoti,A_23,NA,EG1795,CL489_22,9/12/2022,6/2/2023,0.162,21,27,NA,ALIVE,1,NA,8,0.619,33,53,3/4/2023,5/4/2023,B_R
LG2081_22,2081,G3,guichenoti,B_23,E803_23,EG2081,CL562_22,26/12/2022,20/2/2023,0.119,19,24,NA,ALIVE,1,NA,10,0.285,24,36,3/4/2023,3/4/2023,B_R
LD1223_22,1223,G4,delicata,A_23,E145_23,EG1223_22,CL325_22,31/10/2022,19/12/2022,0.1,18,24,NA,ALIVE,1,NA,2,0.328,27,42,12/3/2023,28/3/2023,B_R
LD1334_22,1334,G4,delicata,A_28,E058_23,EG1334_22,CL358_22,7/11/2022,7/12/2022,0.119,18,26,NA,ALIVE,1,NA,3,0.608,32,49,12/3/2023,31/3/2023,B_R
LD1619_22,1619,G4,delicata,B_23,MM_4,EG1619,CL440_22,30/11/2022,23/1/2023,0.095,18,24,NA,ALIVE,1,NA,7,0.385,26,40,17/3/2023,7/4/2023,R_B
LD2242_22,2242,G4,delicata,B_28,NA,EG2242,CL604_22,6/1/2023,6/2/2023,0.107,19,27,NA,ALIVE,1,NA,12,0.382,35,40,15/3/2023,1/4/2023,B_R
