lizard_id,position,species,sex,trt,clutch,age start,date_end_training,date_first_trial,days_since_training,group,trial_associative,position_feeder_associative,FC_associative,notes_associative,reinforcement,trial_reversal,position_feeder_reversal,FC_reversal,reinfor_reversal,notes_reversal,blue_asso
1795,G3,guichenoti,Female,A_23,CL489_22,66,5/4/2023,13/4/2023,8,B_R,2,L,1,,1,2,R,0,1,,NA
2081,G3,guichenoti,Male,B_23,CL562_22,52,3/4/2023,13/4/2023,10,B_R,2,C,0,,1,2,L,1,1,,NA
1223,G4,delicata,Female,A_23,CL325_22,115,28/3/2023,13/4/2023,16,B_R,2,C,NA,,0,2,L,0,0,,NA
1334,G4,delicata,Female,A_28,CL358_22,127,31/3/2023,13/4/2023,13,B_R,2,R,0,,1,2,R,1,1,,NA
1619,G4,delicata,Female,B_23,CL440_22,80,7/4/2023,13/4/2023,6,R_B,2,C,0,,1,2,C,1,1,,NA
2242,G4,delicata,Male,B_28,CL604_22,66,1/4/2023,13/4/2023,12,B_R,2,R,NA,,0,2,L,0,1,,NA
1255,A1,delicata,Male,A_23,CL334_22,111,31/3/2023,13/4/2023,13,B_R,3,C,NA,,0,3,C,1,1,,NA
1382,A1,delicata,Female,B_28,CL373_22,118,1/4/2023,13/4/2023,12,B_R,3,C,1,,1,3,R,0,1,,NA
1410,A1,delicata,Female,A_28,CL379_22,120,28/3/2023,13/4/2023,16,R_B,3,R,0,,1,3,C,1,1,,NA
2073,A1,delicata,Male,B_23,CL560_22,57,22/3/2023,13/4/2023,22,B_R,3,R,1,,1,3,L,1,1,,NA
1373,A2,guichenoti,Female,A_28,CL370_22,120,24/3/2023,13/4/2023,20,B_R,3,C,1,,1,3,L,0,1,,NA
1478,A2,guichenoti,Male,B_23,CL400_22,85,23/3/2023,13/4/2023,21,B_R,3,L,0,,1,3,C,1,1,,NA
2298,A2,guichenoti,Female,B_28,CL619_23,62,26/3/2023,13/4/2023,18,B_R,3,R,1,,1,3,R,0,1,,NA
1207,A3,delicata,Female,B_23,CL320_22,118,30/3/2023,13/4/2023,14,R_B,3,L,0,,0,3,L,0,1,,NA
1381,A3,delicata,Male,A_28,CL373_22,122,30/3/2023,13/4/2023,14,R_B,3,C,NA,,0,3,C,1,1,,NA
1401,A3,delicata,Female,B_28,CL377_22,115,1/4/2023,13/4/2023,12,R_B,3,L,1,,1,3,R,0,1,,NA
1283,A4,guichenoti,Female,A_23,CL344_22,106,28/3/2023,13/4/2023,16,R_B,3,R,NA,,0,3,R,1,1,,NA
1562,A4,guichenoti,Female,B_28,CL423_22,101,26/3/2023,13/4/2023,18,B_R,3,C,0,,1,3,C,0,1,,NA
1609,A4,guichenoti,Female,A_28,CL437_22,101,25/3/2023,13/4/2023,19,B_R,3,R,0,,0,3,L,0,1,,NA
1276,B1,guichenoti,Female,A_28,CL341_22,129,29/3/2023,13/4/2023,15,R_B,3,C,0,,1,3,L,0,1,,NA
1438,B1,guichenoti,Male,B_28,CL386_22,113,21/3/2023,13/4/2023,23,B_R,3,L,NA,,0,3,C,0,1,,NA
1198,B2,delicata,Male,A_23,CL318_22,120,29/3/2023,13/4/2023,15,R_B,3,C,1,,1,3,R,0,1,,NA
1233,B2,delicata,Female,B_23,CL327_22,115,31/3/2023,13/4/2023,13,B_R,3,C,0,,1,3,C,0,1,,NA
1240,B2,delicata,Female,A_28,CL330_22,132,30/3/2023,13/4/2023,14,B_R,3,C,NA,,0,3,R,0,1,,NA
1284,B2,delicata,Male,B_28,CL345_22,129,21/3/2023,13/4/2023,23,B_R,3,C,NA,,0,3,L,0,1,,NA
1432,B3,guichenoti,Male,B_23,CL385_22,94,20/3/2023,13/4/2023,24,R_B,3,R,0,,0,3,C,0,1,,NA
2047,B3,guichenoti,Male,A_23,CL552_22,55,27/3/2023,13/4/2023,17,B_R,3,L,1,,1,3,L,0,1,,NA
1205,B4,delicata,Male,A_28,CL320_22,136,31/3/2023,13/4/2023,13,R_B,3,C,0,,1,3,C,1,1,,NA
1296,B4,delicata,Female,B_23,CL348_22,108,5/4/2023,13/4/2023,8,B_R,3,C,1,,1,3,L,0,1,,NA
1399,B4,delicata,Male,A_23,CL377_22,97,3/4/2023,13/4/2023,10,R_B,3,C,0,,0,3,R,0,1,,NA
1366,C1,guichenoti,Female,A_28,CL368_22,127,1/4/2023,13/4/2023,12,B_R,3,R,NA,,0,3,L,0,1,,NA
1374,C1,guichenoti,Male,B_23,CL371_22,97,20/3/2023,13/4/2023,24,R_B,3,L,0,,0,3,C,1,1,,NA
1463,C1,guichenoti,Female,B_28,CL396_22,111,27/3/2023,13/4/2023,17,B_R,3,C,0,,0,3,R,0,1,,NA
1202,C2,delicata,Male,B_28,CL319_22,134,26/3/2023,13/4/2023,18,B_R,3,L,NA,Wrong shelter,1,3,C,0,1,,NA
1322,C2,delicata,Male,B_23,CL356_22,108,26/3/2023,13/4/2023,18,R_B,3,C,NA,,0,3,L,1,1,,NA
2205,C2,delicata,Male,A_28,CL595_22,69,9/4/2023,13/4/2023,4,B_R,3,C,1,,1,3,R,0,1,,NA
1611,C3,guichenoti,Female,B_28,CL438_22,99,26/3/2023,13/4/2023,18,B_R,3,L,1,,1,3,C,0,1,,NA
